ANSTO ID,ID,Phase,Context,Species,δ13C,Adjusted δ13C,values,mean_depth,max_depth,min_depth,phase_chr,square,spit,Elevation,depth_below_ground_surface,depth_by_context
SI5881,MJB204,3a,C2/33A,Pandanus sp.,-24.5,-27.312000000000001,-27.312,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5882,MJB205,3a,C2/33A,Pandanus sp.,-24.9,-27.712,-27.712,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5884,MJB207,3a,C2/33A,Pandanus sp.,-24.6,-27.412000000000003,-27.412000000000003,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5885,MJB208,3a,C2/33A,Pandanus sp.,-24.2,-27.012,-27.012,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5886,MJB209,3a,C2/33A,Pandanus sp.,-26.3,-29.112000000000002,-29.112000000000005,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5887,MJB210,3a,C2/33A,Pandanus sp.,-26.4,-29.212,-29.212,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33A,98.92820063636364,1.765012363636364,1.8279815332075582
SI5908,MJB231,3a,C2/33,Pandanus sp.,-25,-27.812000000000001,-27.812,1.5988233106060623,1.723536984848486,1.4741096363636386,Phase 3a,C2,33,98.977904125,1.7153088750000034,1.8279815332075582
SI5915,MJB238,3b,C2/32A,Pandanus sp.,-25.2,-28.015999999999998,-28.015999999999995,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5939,MJB262,3b,C2/32A,Pandanus sp.,-24.7,-27.515999999999998,-27.515999999999995,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5940,MJB263,3b,C2/32A,Pandanus sp.,-24.4,-27.215999999999998,-27.215999999999994,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5942,MJB265,3b,C2/32A,Pandanus sp.,-24.6,-27.416,-27.416,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5944,MJB267,3b,C2/32A,Pandanus sp.,-24.4,-27.215999999999998,-27.215999999999994,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5945,MJB268,3b,C2/32A,Pandanus sp.,-24.2,-27.015999999999998,-27.015999999999995,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,32A,98.96653566666667,1.7266773333333323,1.7117071611721606
SI5946,MJB269,3b,C2/31A,Pandanus sp.,-24.3,-27.116,-27.116000000000003,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,31A,99.06009142857143,1.6331215714285747,1.7117071611721606
SI5971,MJB294,3b,C2/31,Pandanus sp.,-26,-28.815999999999999,-28.816,1.8482506590909098,1.9729643333333333,1.723536984848486,Phase 3b,C2,31,99.06759214285714,1.625620857142857,1.7117071611721606
SI6040,MJB363,4,C2/28A,Pandanus sp.,-25.6,-28.401000000000003,-28.401000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6041,MJB364,4,C2/28A,Pandanus sp.,-25.4,-28.201000000000001,-28.201,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6042,MJB365,4,C2/28A,Pandanus sp.,-25.4,-28.201000000000001,-28.201,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6043,MJB366,4,C2/28A,Pandanus sp.,-25.6,-28.401000000000003,-28.401000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6044,MJB367,4,C2/28A,Pandanus sp.,-24.1,-26.901000000000003,-26.901000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6045,MJB368,4,C2/28A,Pandanus sp.,-25.1,-27.901000000000003,-27.901000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6046,MJB369,4,C2/28A,Pandanus sp.,-25.6,-28.401000000000003,-28.401000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6047,MJB370,4,C2/28A,Pandanus sp.,-25.1,-27.901000000000003,-27.901000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6049,MJB372,4,C2/28A,Pandanus sp.,-24.9,-27.701000000000001,-27.701,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6050,MJB373,4,C2/28A,Pandanus sp.,-25.6,-28.401000000000003,-28.401000000000003,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6052,MJB375,4,C2/28A,Pandanus sp.,-26.4,-29.201000000000001,-29.201,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6054,MJB377,4,C2/28A,Pandanus sp.,-25.2,-28.000999999999998,-28.000999999999994,1.375,1.5,1.25,Phase 4,C2,28A,99.23983,1.4533829999999992,1.4424186943746722
SI6064,MJB387,4,C2/28,Pandanus sp.,-25.9,-28.701000000000001,-28.701,1.375,1.5,1.25,Phase 4,C2,28,99.30598015384615,1.3872328461538468,1.4424186943746722
